,ÍòµÃÈ«A,SMB,HML,alpha
2015-12-31,0.006,0.0172,-0.0394***,0.0001
2016-03-31,0.0191,0.0413,-0.0586**,0.0
2016-06-30,0.0472,0.0005,-0.0132***,0.0001
2016-09-30,0.0728,0.0353***,-0.0654***,0.0001
2016-12-30,0.1032**,-0.015***,0.0035***,0.0
2017-03-31,0.1006***,0.0116***,-0.0281***,-0.0
2017-06-30,0.1029***,0.0191*,-0.0428***,0.0002
2017-09-29,0.1299***,0.0005***,-0.011***,-0.0
2017-12-29,0.1293***,0.0241*,-0.0264***,-0.0
2018-03-30,0.1544**,-0.0033***,-0.0697***,0.0
2018-06-29,0.1145,-0.035***,-0.0394***,0.0001
2018-09-28,0.0892,-0.0266***,-0.0431***,-0.0
2018-12-28,0.0655,0.0067***,0.0471***,-0.0001
2019-03-29,0.414***,-0.0054***,-0.0968***,0.0002
2019-06-28,0.6854***,-0.0012***,-0.0488***,-0.0002
2019-09-30,0.82***,-0.0496***,0.0152***,0.0005
2019-12-31,0.8823***,0.2337***,-0.1615***,0.001
2020-03-31,0.8931***,0.0096***,0.0534***,-0.0002
2020-06-30,1.0658***,0.1892***,-0.0779***,0.0013
2020-07-31,0.8269***,0.1472***,0.1064***,0.0019
