,ÍòµÃÈ«A,SMB,HML,alpha
2013-06-28,-0.0298,0.1178***,-0.0662***,-0.0011
2013-09-30,0.2641***,0.1106***,-0.3635***,-0.0002
2013-12-31,0.8977***,-0.2094***,0.0556***,0.0001
2014-03-31,0.8933***,-0.2551***,0.1081***,0.0003
2014-06-30,0.8217***,-0.2304***,0.0447***,0.0001
2014-09-30,0.8778***,-0.3019***,-0.0714***,-0.0004
2014-12-31,0.8158***,-0.228***,-0.0628***,-0.0005
2015-03-31,0.859***,-0.1935***,0.2928***,0.0
2015-06-30,0.8457***,-0.1913***,0.3288***,-0.0
2015-09-30,0.7733***,-0.0843***,0.19***,-0.0001
2015-12-31,0.8107***,0.0643***,-0.0526***,-0.0001
2016-03-31,0.8369***,-0.0093***,-0.0573***,0.0003
2016-06-30,0.7903***,0.0848***,-0.0942***,0.0003
2016-09-30,0.7935***,0.049***,-0.1983***,0.0002
2016-12-30,0.784***,-0.0037***,-0.0857***,-0.0004
2017-03-31,0.9779***,-0.222***,0.0736***,0.0002
2017-06-30,0.975***,-0.3822***,0.3867***,0.0005
2017-09-29,0.8918***,-0.1946***,0.0056***,0.0003
2017-12-29,1.0417***,-0.2786***,0.1203***,0.0008
2018-03-30,0.9957***,-0.3603***,0.1598***,0.0001
2018-06-29,0.972***,-0.2561***,0.1066***,0.0006
2018-09-28,0.9841***,-0.2442***,0.0912***,0.0002
2018-12-28,0.9458***,-0.4659***,0.1041***,0.0001
2019-03-29,0.8501***,-0.3759***,0.1139***,-0.0
2019-06-28,0.9009***,-0.3189***,0.0046***,0.0003
2019-09-30,0.8179***,-0.3809***,0.2688***,0.0003
2019-12-31,0.8854***,-0.2906***,0.119***,0.0004
2020-03-31,0.9159***,-0.415***,0.3105***,0.0002
2020-06-30,0.9183***,-0.274***,0.1698***,0.0009
2020-07-31,0.8488***,-0.0895***,0.0604***,0.002
