,大盘成长,大盘价值,中盘成长,中盘价值,小盘成长,小盘价值,中债总财富指数
2015-12-31,0.0*,0.0*,0.0*,0.0225*,0.0*,0.0*,0.9775***
2016-03-31,0.0*,-0.0*,0.0*,0.0*,0.0*,0.0242*,0.9758***
2016-06-30,0.0*,0.0639***,0.0086*,0.0*,-0.0*,0.0085*,0.919***
2016-09-30,0.0*,0.0**,0.0*,0.0*,0.0491*,0.0161*,0.9348***
2016-12-30,0.0***,-0.0***,0.0***,0.0***,0.0***,0.112***,0.888***
2017-03-31,0.0***,0.0***,0.0498***,0.0105***,-0.0***,0.0495***,0.8901***
2017-06-30,0.0***,0.0287***,0.0175***,0.0**,0.0418**,0.0**,0.9121***
2017-09-29,0.0**,0.0512***,0.0***,0.05**,0.0596**,-0.0**,0.8393***
2017-12-29,0.0**,0.0395**,0.0**,0.0788***,0.0337**,0.0**,0.8481***
2018-03-30,0.0*,0.0689*,0.0151*,0.0543*,0.0016*,0.0218*,0.8383***
2018-06-29,0.0125*,0.0707**,0.0*,0.0204*,0.0*,0.0335*,0.8629***
2018-09-28,-0.0*,0.0576*,0.0282*,0.0*,0.0*,0.0218*,0.8924***
2018-12-28,0.025*,0.017*,0.0455*,0.0039*,-0.0*,0.0*,0.9087***
2019-03-29,0.0316***,0.1246***,-0.0***,0.0713***,-0.0***,0.206***,0.5665***
2019-06-28,0.1192***,0.1222***,0.1395***,0.1292***,0.1097***,0.0621***,0.3181***
2019-09-30,0.2708***,0.0544***,0.2415***,0.0***,0.0***,0.2349***,0.1984***
2019-12-31,0.0***,0.0635***,0.2198***,0.3702***,0.2669***,-0.0***,0.0796***
2020-03-31,0.1602***,0.1019***,0.0433***,0.1339***,0.4407***,-0.0***,0.12***
2020-06-30,0.0236***,0.1476***,0.363***,0.0385***,0.4273***,-0.0***,-0.0***
2020-07-31,0.1033***,0.0***,0.5412***,0.0***,-0.0***,0.2544***,0.1011***
