,大盘成长,大盘价值,中盘成长,中盘价值,小盘成长,小盘价值,中债总财富指数
2013-06-28,0.0*,-0.0*,0.0*,-0.0*,-0.0*,0.0*,1.0***
2013-09-30,0.0***,0.1223***,0.0***,-0.0***,0.0145***,0.1315***,0.7318***
2013-12-31,0.1563***,0.2844***,0.2741***,0.0041***,0.0298***,0.1715***,0.0798***
2014-03-31,0.1458***,0.2933***,0.2827***,-0.0***,0.1194***,0.0718***,0.087***
2014-06-30,0.0613***,0.3916***,0.2062***,0.0***,0.1807***,0.042***,0.1182***
2014-09-30,0.1768***,0.3706***,0.1285***,0.0109***,0.163***,0.0961***,0.0541***
2014-12-31,0.0***,0.4656***,0.1651***,0.0***,0.2438***,-0.0***,0.1255***
2015-03-31,0.0261***,0.3189***,0.2878***,-0.0***,0.2545***,-0.0***,0.1127***
2015-06-30,0.2605***,0.1207***,0.223***,0.0***,0.3323***,0.0***,0.0635***
2015-09-30,0.1797***,0.1741***,0.239***,-0.0***,0.2433***,0.164***,-0.0***
2015-12-31,0.1552***,0.0924***,-0.0***,0.0***,0.5334***,0.1421***,0.0769***
2016-03-31,-0.0***,0.2229***,0.3014***,0.0023***,0.2193***,0.189***,0.0651***
2016-06-30,0.121***,0.1518***,0.0***,-0.0***,0.3081***,0.3123***,0.1068***
2016-09-30,0.0119***,0.1692***,0.0172***,0.0604***,0.2991***,0.2744***,0.1678***
2016-12-30,0.0097***,0.1786***,0.0485***,0.0***,0.2624***,0.3399***,0.161***
2017-03-31,0.1028***,0.146***,0.4566***,0.0859***,0.0599***,0.1488***,0.0001***
2017-06-30,0.1637***,0.2077***,0.5901***,-0.0***,-0.0***,0.0308***,0.0077***
2017-09-29,0.0943***,0.2924***,0.2469***,-0.0***,0.0028***,0.262***,0.1016***
2017-12-29,-0.0***,0.378***,0.395***,0.0***,0.0***,0.227***,0.0***
2018-03-30,0.2582***,0.3391***,0.3161***,-0.0***,-0.0***,0.0678***,0.0188***
2018-06-29,0.0819***,0.3314***,0.3293***,-0.0***,-0.0***,0.2385***,0.0189***
2018-09-28,0.1071***,0.3467***,0.244***,0.0***,0.1589***,0.1262***,0.0171***
2018-12-28,0.1977***,0.5416***,0.2064***,0.0***,0.0304***,0.0***,0.0239***
2019-03-29,0.3352***,0.3104***,0.124***,0.0004***,0.0069***,0.0795***,0.1436***
2019-06-28,0.3145***,0.3414***,0.1436***,0.0***,0.0842***,0.0***,0.1163***
2019-09-30,0.5457***,0.105***,0.1483***,0.0***,0.0***,0.0***,0.2011***
2019-12-31,0.37***,0.1944***,0.2393***,0.0525***,0.0237***,0.0089***,0.1112***
2020-03-31,0.391***,0.2301***,0.2016***,0.0***,0.0985***,0.0***,0.0788***
2020-06-30,0.4091***,0.1515***,0.2292***,0.0***,0.1158***,0.0334***,0.061***
2020-07-31,0.3049***,0.0926***,0.1874***,-0.0***,0.0***,0.3194***,0.0957***
